Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed
SRX334183	11544918	1764913	5909661	1931201	0	0	0	0	0	0	0	0	0	1725822	206255	7066	15.287358472359875	11544918.0	9613717.0	83.27	1931201.0	16.73	SRX334183_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11544918.0	0.0	20-50	50.0	14.743849404398508	49.049052232332876	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11546658	5427916	11546658	577332900	4684627	566293276	1.9121764929731184	0.4131	0.5166	0.0704
SRX334184	11546758	1773076	5926535	1890158	0	0	0	0	0	0	0	0	0	1739528	210188	7273	15.355617568152029	11546758.0	9656600.0	83.63	1890158.0	16.37	SRX334184_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11546758.0	0.0	20-50	50.0	14.981118528008194	48.98581506601247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11548844	5383410	11548844	577442200	5471749	565658518	2.0406686591315983	0.37799999999999995	0.5498	0.0722
SRX334185	9088578	1376153	4639017	1568626	0	0	0	0	0	0	0	0	0	1341578	157697	5507	15.141565600251214	9088578.0	7519952.0	82.74	1568626.0	17.26	SRX334185_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9088578.0	0.0	20-50	50.0	15.300751729158252	49.124263553660434	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	9089455	4309882	9089455	454472750	2966101	446481588	1.7583368859849131	0.3937	0.53	0.0763
SRX334186	15689411	2908522	7723721	2573709	0	0	0	0	0	0	0	0	0	2141991	328656	12812	18.53812102952749	15689411.0	13115702.0	83.6	2573709.0	16.4	SRX334186_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15689411.0	0.0	20-50	49.0	15.335312283520672	49.03447796733733	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	15691865	7648809	15691865	784593250	6344282	769358171	1.941780534053792	0.3469	0.5786	0.0745
SRX334187	27980592	565953	216	7613663	0	0	0	0	0	0	0	0	0	19704782	94735	1243	2.022662708494517	27980592.0	20366929.0	72.79	7613663.0	27.21	SRX334187_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27980592.0	0.0	20-50	48.0	7.9745066177517625	48.36405838018009	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	28014712	16782685	28014712	1400735600	28536198	1353820241	3.349337233950504	0.3011	0.6628	0.0361
SRX334188	16277069	1821503	6766058	4082718	0	0	0	0	0	0	0	0	0	3353036	243854	9900	11.190608087979477	16277069.0	12194351.0	74.92	4082718.0	25.08	SRX334188_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16277069.0	0.0	20-50	49.0	13.557232083550725	48.88623891684677	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	16280029	9049293	16280029	814001450	8093172	795770124	2.239716649153389	0.379	0.5176	0.1034
SRX334189	16401891	1852374	6849058	4046474	0	0	0	0	0	0	0	0	0	3394311	249587	10087	11.293661200406707	16401891.0	12355417.0	75.33	4046474.0	24.67	SRX334189_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16401891.0	0.0	20-50	49.0	13.876299612171273	48.82324751457012	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	16405690	9034068	16405690	820284500	9296060	800851782	2.3690217235605453	0.3727	0.5098	0.1175
SRX334190	26163350	1461871	4897892	19068639	0	0	0	0	0	0	0	0	0	571710	153710	9528	5.587476374393951	26163350.0	7094711.0	27.12	19068639.0	72.88	SRX334190_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26163350.0	0.0	20-100	40.0	16.737603869718303	85.92369952624568	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	26168790	21947898	26168790	2616879000	329930122	2264258974	13.474831125168569	0.4895	0.4165	0.094
SRX334191	20634487	656808	253	6269620	0	0	0	0	0	0	0	0	0	13515731	191104	971	3.1830595061558835	20634487.0	14364867.0	69.62	6269620.0	30.38	SRX334191_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20634487.0	0.0	20-50	46.0	6.7118969851578045	48.186097042296225	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	20659847	13709137	20659847	1032992350	23330265	994718124	3.7051800044792205	0.1324	0.8483	0.0193
SRX334192	19631128	747589	6955912	6234783	0	0	0	0	0	0	0	0	0	5276978	408054	7812	3.8081815777473413	19631128.0	13396345.0	68.24	6234783.0	31.76	SRX334192_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19631128.0	0.0	20-50	49.0	7.0731649854870655	48.72608644801257	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	19635458	12726798	19635458	981772900	11418701	956615059	2.562490877472784	0.2998	0.5541	0.1461
