Geneid,SRX1392948,SRX1392949,SRX1392950,SRX1392951,SRX1392954,SRX1392955,SRX4340129,SRX4340130,SRX4340131,SRX4340132,SRX4340133,SRX4340134,SRX8537506,SRX8537507,SRX8537508,SRX8537509,SRX8537510,SRX8537511
STMUK_2602,4.29120152856707,5.271203299227878,5.23908050619671,5.079011950836021,5.218575663362297,4.942186551185556,4.691605175032717,4.663751112712125,4.84151048163959,4.597597283287986,4.58196471884217,4.62775612117259,4.299124427754425,4.286187629404501,4.301539713121708,4.086189887644254,3.9737548160000697,4.069621133512656
STMUK_2603,4.538478131829841,5.48282382046508,5.414357864127855,5.196618392138461,3.8716895366814064,3.936348139386049,6.036780363361187,6.1205203079918835,5.969138674010553,5.8755492662409665,5.824196840395109,5.929028943983022,4.821827219462883,4.76237078231254,4.44995679678077,4.86264823186844,4.588531447705353,4.90057796860581
STMUK_2604,3.567707828038439,4.183823473358533,3.7197415864962062,4.173449299734069,3.4024785712762946,3.3174448731871222,3.6954828472620314,3.7218018364205294,3.99508515519724,3.7401091151337313,3.7235498846893433,3.8477470005693255,4.777030010979717,4.72748543019616,4.8188380067165735,4.490108855765136,4.5148212508027,4.6621680946912045
STMUK_2605,5.74332514618317,5.770997427078643,4.905439353567571,5.464563151557372,4.016076091533556,3.835088834963104,4.097990132969456,4.311385576607103,4.541056365612445,4.807299260396136,4.996533574456858,5.24762142993593,4.934161999639951,4.711836037553383,4.944144037157439,4.6965896345755525,4.898342847975042,4.9093610773222665
STMUK_2606,2.3862312951673337,2.13214092802517,1.1201880823226842,3.007565133969956,0.0,1.1841472191736315,0.30514860094877405,0.7447547096559549,0.8408316355716285,1.1124118810112589,0.8475161165083769,0.6330769016376776,0.9814992591930324,1.0411862796617195,0.9966153273326503,0.7289340077095123,1.2599991935129518,0.9051353698818916
STMUK_2607,3.7937306255845984,3.5218181498155294,2.580122302737407,3.7793021658713313,3.19255514659512,2.0995378730900005,4.488173086887151,4.576479328090602,4.421552712588995,4.206390325707302,4.535621145357865,3.978178688803832,3.490370106672668,2.7992840811813364,3.1751357700661016,3.6716365502931327,3.9904997161358255,3.785942743275272
STMUK_2608,3.2187824947357098,3.366104081248821,3.3544701856008072,4.099982930328529,5.0064644912858745,4.115862547895864,3.8035521724551185,4.148429480697569,4.76139609532162,4.242331676431846,4.317746170992415,4.815513709919088,3.3422443894390534,2.7514611360297048,3.372626413216368,3.6504934838431295,3.4054935536294564,3.5058081462475386
STMUK_2609,5.4336516173519085,5.6562760699787225,5.636022413585678,5.870934197736956,6.120511906045125,6.598911520375898,6.0226322512983215,6.06194649159294,6.409483709233132,6.2792676518416535,6.301158638997168,6.285687047855767,6.474977962905825,6.5739830890976325,6.437627602026473,6.704193305345299,6.433965622442509,6.665063800847067
STMUK_2610,5.7171415672815415,5.9892410833157035,6.164759660761745,6.429861979384702,6.369772393285179,6.4173227646046636,6.818818240156322,6.7364720489986665,7.006189730004201,6.744728834929173,6.411045860613984,6.699289702351535,7.826534066903576,7.878545488211004,7.844473780412866,8.05817189356306,7.796714973386635,7.963296988705423
STMUK_2611,4.328462480716671,4.669367516804353,4.4814069344439815,4.835834088669516,6.389397843602144,6.283139377507188,6.4341958551599445,6.495071573285285,6.643553858526733,6.474849075827818,6.719064828057578,6.628096673557651,4.9861121067721275,4.83174557236621,5.44806529505799,3.910056055507835,4.910325905815132,5.0272409388530805
STMUK_2612,5.724343640744808,5.596551750110749,6.124886078871829,6.15156428175161,8.053491307268827,7.911104544971378,7.746818865110884,7.668657040102772,7.666303536773003,7.60428827927516,7.662139755901697,7.623099678701077,6.699653357806146,6.862636917995106,7.1693288567008935,6.080290089549059,7.210291113183165,6.777735848921722
STMUK_2613,7.025179218695827,6.8991223791861005,6.930584267338836,7.360962980798723,8.056110471063821,7.725611814380938,8.143339462187651,8.371432457986959,8.547697506970966,8.583852896795232,8.519761984356022,8.778540830308934,6.2490067890324035,6.290099291774017,6.503792143428901,5.6608384814658725,6.7093054737000015,6.293173577204561
STMUK_2614,5.3059136192087895,5.792305346150073,5.545366963458992,5.490180927583253,6.915216280934174,6.903406680964898,7.362207669288304,7.421115805396808,7.198445930022014,7.287682420824707,7.565537496796508,7.5336500210177375,6.535160231224444,6.426471224405155,6.560043952261759,6.005018108621306,6.690606106574097,6.750056884011276
STMUK_2615,5.649677985049009,5.971921803152324,5.732949207748362,5.901380384434472,7.057986683693452,6.760903338286942,7.713937150740937,7.626645748941232,7.340584988585073,7.5776738956986,7.5957394948590435,7.7110280074756155,7.219659604683621,7.270515040403241,7.384279001255896,6.710909163238925,7.601664973030485,7.230282253133876
STMUK_2616,4.998675463536874,5.7476365782545225,5.445840539504441,5.5130764097851515,3.662067538335632,2.8311052666902286,6.777459319283778,6.816828158934277,6.890407758362963,6.812343808267696,6.9650168275049085,6.7134213680728845,3.849533220454238,3.967217913743462,3.4914979031371534,3.2233893310865542,3.7965884017160176,4.168892177623784
