	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
ERX3503516	16641820	9942847	12519	2631768	0	0	0	0	87042	0	0	0	0	3070413	823367	73864	59.746151562749745	16641820.0	14010052.0	84.19	2631768.0	15.81	ERX3503516_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16641820.0	0.0	20-75	52.0	34.91248923137581	73.08519284549406	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	16737311	4640605	16737311	1242756297	11267167	1226179235	1.3338948303876508	0.5675	0.0727	0.3598		
ERX3503517	16274542	9663323	20320	2496796	0	0	0	0	96642	0	0	0	0	3097081	827817	72563	59.376927473596496	16274542.0	13777746.0	84.66	2496796.0	15.34	ERX3503517_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16274542.0	0.0	20-75	52.0	34.60687260247639	73.05007624792145	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	16379256	4541122	16379256	1215641886	12043973	1198402735	1.4181109748302965	0.5611	0.0716	0.3673		
ERX3503518	17113960	10554544	26959	2640601	0	0	0	0	92681	0	0	0	0	2873827	843884	81464	61.67213199049197	17113960.0	14473359.0	84.57	2640601.0	15.43	ERX3503518_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17113960.0	0.0	20-75	51.0	33.62147326757146	73.07731582871527	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	17213968	4808203	17213968	1278264441	11902619	1260861552	1.3614466961457157	0.6502	0.0477	0.3022		
ERX3503519	18753243	11165234	74395	3217797	0	0	0	0	128704	0	0	0	0	3288972	803505	74636	59.537617040423356	18753243.0	15535446.0	82.84	3217797.0	17.16	ERX3503519_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18753243.0	0.0	20-75	51.0	33.70478184782054	72.94592887214228	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	18886736	6273959	18886736	1398625636	3683576	1387580868	0.7896872269256761	0.6312	0.0502	0.3186		
ERX3503520	15478815	9165771	96541	2608724	0	0	0	0	84752	0	0	0	0	2713452	747741	61834	59.21493990334531	15478815.0	12870091.0	83.15	2608724.0	16.85	ERX3503520_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15478815.0	0.0	20-75	51.0	36.90390606455949	73.02184114223216	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	15567071	4246900	15567071	1155282298	11336429	1138997296	1.4096123543303871	0.6156	0.0538	0.3306		
SRX1258662	21931555	4901746	97443	13199871	0	0	0	0	116805	0	0	0	0	3156657	435174	23859	22.35019815056433	21931555.0	8731684.0	39.81	13199871.0	60.19	SRX1258662_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21931555.0	0.0	20-101	48.0	36.12132323079697	94.96459854305814	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass	24236488	10220122	24236488	2447885288	171085508	2125449390	13.172018295981523	0.3394	0.16899999999999998	0.4917		
SRX1258663	19964662	1155032	27114	18093283	0	0	0	0	47574	0	0	0	0	519771	111611	10277	5.785382191794683	19964662.0	1871379.0	9.37	18093283.0	90.63	SRX1258663_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19964662.0	0.0	20-101	47.0	39.01905303757293	92.94357319948617	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	21047813	8993170	21047813	2125829113	110882227	1900768700	10.586947540782877	0.3172	0.2646	0.4182		
SRX1258664	20808466	5434077	843131	11646871	0	0	0	0	194860	0	0	0	0	2133590	502494	53443	26.114740990517998	20808466.0	9161595.0	44.03	11646871.0	55.97	SRX1258664_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20808466.0	0.0	20-101	49.0	37.872521476064136	94.11853569599987	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	22986782	9563985	22986782	2321664982	173275389	2006076276	13.5932061019474	0.3245	0.2335	0.4421		
SRX1258665	24040170	1150379	35099	22446463	0	0	0	0	45343	0	0	0	0	242345	107693	12848	4.785236543668368	24040170.0	1593707.0	6.63	22446463.0	93.37	SRX1258665_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24040170.0	0.0	20-101	46.0	48.00756212320579	93.03687760943454	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	25475126	11277490	25475126	2572987726	137873806	2284981948	11.193437694618835	0.3451	0.255	0.3999		
SRX1258666	19227774	2114594	145967	16021178	0	0	0	0	69099	0	0	0	0	648743	203246	24947	10.99760169845974	19227774.0	3206596.0	16.68	16021178.0	83.32	SRX1258666_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19227774.0	0.0	20-101	47.0	41.174556997578186	96.05406720507533	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass	20513865	7629347	20513865	2071900365	118218298	1878263753	9.345845740029104	0.33899999999999997	0.2246	0.4364		
SRX1258667	19504575	1467548	152661	17280367	0	0	0	0	56072	0	0	0	0	401203	131016	15708	7.524121904732608	19504575.0	2224208.0	11.4	17280367.0	88.6	SRX1258667_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19504575.0	0.0	20-101	48.0	35.41343349814554	94.78289580777843	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass	20719240	7992292	20719240	2092643240	120601815	1882603217	10.037067904608527	0.3438	0.2004	0.4558		
