,gene_id,database,kegg_id
14595,STM3380,KEGG_reaction,R04385
14596,STM3401,KEGG_reaction,R02413
14597,STM3402,KEGG_reaction,R10463
14598,STM3407,KEGG_reaction,R03940
14599,STM3443,KEGG_reaction,R00078
14600,STM3464,KEGG_reaction,R01523
14601,STM3468,KEGG_reaction,R02283
14602,STM3468,KEGG_reaction,R04475
14603,STM3469,KEGG_reaction,R01716
14604,STM3474,KEGG_reaction,R00787
14605,STM3475,KEGG_reaction,R00787
14606,STM3477,KEGG_reaction,R02864
14607,STM3477,KEGG_reaction,R03194
14608,STM3477,KEGG_reaction,R03947
14609,STM3481,KEGG_reaction,R03664
14610,STM3482,KEGG_reaction,R01334
14611,STM3483,KEGG_reaction,R01529
14612,STM3486,KEGG_reaction,R03083
14613,STM3487,KEGG_reaction,R02412
14614,STM3494,KEGG_reaction,R01054
14615,STM3496,KEGG_reaction,R00183
14616,STM3496,KEGG_reaction,R00511
14617,STM3496,KEGG_reaction,R00963
14618,STM3496,KEGG_reaction,R01126
14619,STM3496,KEGG_reaction,R01227
14620,STM3496,KEGG_reaction,R01569
14621,STM3496,KEGG_reaction,R01664
14622,STM3496,KEGG_reaction,R01968
14623,STM3496,KEGG_reaction,R02088
14624,STM3496,KEGG_reaction,R02102
14625,STM3496,KEGG_reaction,R02323
14626,STM3496,KEGG_reaction,R02719
14627,STM3496,KEGG_reaction,R03346
14628,STM3500,KEGG_reaction,R00341
14629,STM3509,KEGG_reaction,R09725
14630,STM3513,KEGG_reaction,R05196
14631,STM3514,KEGG_reaction,R02111
14632,STM3525,KEGG_reaction,R01931
14633,STM3526,KEGG_reaction,R00848
14634,STM3534,KEGG_reaction,R02111
14635,STM3535,KEGG_reaction,R02421
14636,STM3536,KEGG_reaction,R00948
14637,STM3537,KEGG_reaction,R02111
14638,STM3538,KEGG_reaction,R02110
14639,STM3539,KEGG_reaction,R02291
14640,STM3542,KEGG_reaction,R01737
14641,STM3551,KEGG_reaction,R00494
14642,STM3551,KEGG_reaction,R01262
14643,STM3551,KEGG_reaction,R01687
14644,STM3551,KEGG_reaction,R03867
14645,STM3551,KEGG_reaction,R03916
14646,STM3551,KEGG_reaction,R03970
14647,STM3551,KEGG_reaction,R03971
14648,STM3551,KEGG_reaction,R04935
14649,STM3553,KEGG_reaction,R01030
14650,STM3553,KEGG_reaction,R01470
14651,STM3572,KEGG_reaction,R07234
14652,STM3583,KEGG_reaction,R01625
14653,STM3597,KEGG_reaction,R00094
