	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX3456098	12431025	3919682	41678	2522692	0	0	0	0	51	0	0	0	0	5686761	253263	6898	31.53144652190789	12431025.0	9908333.0	79.71	2522692.0	20.29	SRX3456098_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12431025.0	0.0	20-100	52.0	11.803729483960664	97.94394911119558	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	12435330	3508149	12435330	1243533000	17286890	1221326686	1.7857438443531457			0.2787	0.1097	0.6116
SRX4029141	33150813	22132756	13528	5409418	0	0	0	0	1242013	0	0	0	0	2286223	1092843	974032	66.7638407540714	33150813.0	27741395.0	83.68	5409418.0	16.32	SRX4029141_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33150813.0	0.0	20-75	52.0	18.505030868798045	73.72717700769509	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		33404728	10263420	33404728	2505354600	11363326	2465328194	1.5976343628163456			0.3734	0.5871	0.0395
SRX4029142	25989872	17278485	9420	4056916	0	0	0	0	1455981	0	0	0	0	1293769	942517	952784	66.48160868202814	25989872.0	21932956.0	84.39	4056916.0	15.61	SRX4029142_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25989872.0	0.0	20-75	52.0	24.167938339868588	73.65566225181871	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		26112127	8510040	26112127	1958409525	4036873	1937861197	1.0492355014460009			0.3778	0.5789	0.0433
SRX4029143	27439149	18412686	10202	4152659	0	0	0	0	1332972	0	0	0	0	1596723	973177	960730	67.10370645970106	27439149.0	23286490.0	84.87	4152659.0	15.13	SRX4029143_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27439149.0	0.0	20-75	52.0	18.551529290526236	73.77141156965182	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		27576952	8370638	27576952	2068271400	10327549	2040443447	1.3454691197683244			0.3907	0.5732	0.0361
SRX4029144	25446702	16839229	23370	4018557	0	0	0	0	1040918	0	0	0	0	1901929	857729	764970	66.17450465683137	25446702.0	21428145.0	84.21	4018557.0	15.79	SRX4029144_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25446702.0	0.0	20-75	51.0	18.68105032340008	73.75326240704985	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		25596520	7703657	25596520	1919739000	8971857	1892821197	1.4021595123087045			0.4328	0.5273	0.0398
SRX4029145	20602184	13662188	18708	3220590	0	0	0	0	897128	0	0	0	0	1506469	676729	620372	66.31427037055877	20602184.0	17381594.0	84.37	3220590.0	15.63	SRX4029145_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20602184.0	0.0	20-75	51.0	19.189453331481623	73.758442502989	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		20788476	6681542	20788476	1559135700	527217	1539342216	1.269516437857205			0.4275	0.5343	0.0381
SRX4029146	27351678	17551897	19658	4831415	0	0	0	0	856977	0	0	0	0	2459433	861816	770482	64.17118905830932	27351678.0	22520263.0	82.34	4831415.0	17.66	SRX4029146_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27351678.0	0.0	20-75	51.0	19.665785161918713	73.71904926637406	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		27609530	8328244	27609530	2070714750	8909736	2034908427	1.7291769906985015			0.419	0.5443	0.0366
SRX4223295	5213069	3141225	208	267586	0	0	0	0	305	0	0	0	0	1590711	204926	8108	60.256731687226846	5213069.0	4945483.0	94.87	267586.0	5.13	SRX4223295_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5213069.0	0.0	21-150	53.0	25.159483454169926	148.88793434347406	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		5213138	1506067	5213138	781970700	3780275	775770484	0.7928962044230046			0.4978	0.1063	0.3959
SRX4387557	6563070	3136408	284	2488179	0	0	0	0	0	0	0	0	0	673510	202668	62021	47.788733016713216	6563070.0	4074891.0	62.09	2488179.0	37.91	SRX4387557_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6563070.0	0.0	20-150	51.0	36.57666295936153	148.0692701738668	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		6563263	1956562	6563263	984489450	5492651	975073904	0.9563887149831825	0.0834	0.2705	0.6461		
SRX4387558	6487634	5242668	215	319702	0	0	0	0	0	0	0	0	0	671752	237069	16228	80.81016900768445	6487634.0	6167932.0	95.07	319702.0	4.93	SRX4387558_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6487634.0	0.0	20-150	52.0	29.621832100941358	148.07769165153275	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		6487875	1926252	6487875	973181250	5061491	963845546	0.9592975614768576	0.0616	0.3453	0.5931		
SRX5076863	4378811	3089819	92	214904	0	0	0	0	572	0	0	0	0	867259	200073	6092	70.56296789242559	4378811.0	4163907.0	95.09	214904.0	4.91	SRX5076863_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4378811.0	0.0	20-150	53.0	27.74972761958776	147.79835576369933	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		4384279	1420962	4384279	657641850	4006223	649433873	1.2480922556859786			0.5015	0.1159	0.3826
SRX5076864	5470825	3262467	488	307967	0	0	0	0	535	0	0	0	0	1676734	214234	8400	59.63391261829797	5470825.0	5162858.0	94.37	307967.0	5.63	SRX5076864_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5470825.0	0.0	20-150	53.0	26.77203769992516	147.48135884441558	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		5481327	1627165	5481327	822199050	1491466	814904767	0.8871675295659853			0.4971	0.1071	0.3958
SRX5081648	6561741	60946	15	102079	0	0	0	0	0	0	0	0	0	6396613	2015	73	0.928808375703948	6561741.0	6459662.0	98.44	102079.0	1.56	SRX5081648_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6561741.0	0.0	18-50	55.0	5.719441123325683	34.920810498311354	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		9745163	8549878	9745163	487258150	180537	262819019	46.061647403948	0.1196	0.4095	0.4709		
SRX5081649	6322715	59760	10	109544	0	0	0	0	0	0	0	0	0	6151216	2143	42	0.9451635887431268	6322715.0	6213171.0	98.27	109544.0	1.73	SRX5081649_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6322715.0	0.0	18-50	55.0	5.7351949033370895	33.31081710942214	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		10602898	9722282	10602898	530144900	207961	254478274	51.99835478941701	0.1295	0.4664	0.4041		
SRX5081650	6690190	49670	18	136462	0	0	0	0	0	0	0	0	0	6501501	2491	48	0.7424303345644893	6690190.0	6553728.0	97.96	136462.0	2.04	SRX5081650_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6690190.0	0.0	18-50	54.0	6.741843685324586	38.50597352242612	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		8946486	7100427	8946486	447324300	166403	280460884	37.30256013366589	0.153	0.4422	0.4047		
SRX5081654	5783933	96918	20	162329	0	0	0	0	0	0	0	0	0	5520061	4485	120	1.675641816736121	5783933.0	5621604.0	97.19	162329.0	2.81	SRX5081654_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5783933.0	0.0	18-50	54.0	9.378038730164217	39.47606844685096	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		8356062	6489217	8356062	417803100	197982	249655058	40.24576217840413	0.1837	0.4145	0.4018		
SRX5081655	6263637	103764	33	243311	0	0	0	0	0	0	0	0	0	5909523	6786	220	1.6566094107943994	6263637.0	6020326.0	96.12	243311.0	3.88	SRX5081655_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6263637.0	0.0	18-50	54.0	10.819100721459913	37.7525868756443	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		8959171	7410783	8959171	447958550	231337	258631405	42.26443384103284	0.1538	0.5115	0.3347		
SRX5081656	5555846	98694	29	158279	0	0	0	0	0	0	0	0	0	5294431	4288	125	1.7763991298534911	5555846.0	5397567.0	97.15	158279.0	2.85	SRX5081656_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5555846.0	0.0	18-50	54.0	9.024868588838228	39.0529814901277	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		8085548	6466243	8085548	404277400	191490	238986856	40.8854276791134	0.1617	0.4745	0.3638		
SRX5081660	6109000	53880	24	282241	0	0	0	0	0	0	0	0	0	5770832	1968	55	0.8819774103781306	6109000.0	5826759.0	95.38	282241.0	4.62	SRX5081660_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6109000.0	0.0	18-50	55.0	7.707186665428772	36.64868947454576	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		9388837	8064991	9388837	469441850	226597	254045102	45.88358451637835	0.1549	0.4019	0.4433		
SRX5081661	4530607	47163	24	315128	0	0	0	0	0	0	0	0	0	4166673	1570	49	1.0409863402409434	4530607.0	4215479.0	93.04	315128.0	6.96	SRX5081661_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4530607.0	0.0	18-50	55.0	8.54238541103129	34.00509401941064	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		7559169	6788951	7559169	377958450	205479	182743481	51.64984907732583	0.2122	0.4696	0.3181		
SRX5081662	7053540	72339	18	529241	0	0	0	0	0	0	0	0	0	6449171	2721	50	1.025570139249228	7053540.0	6524299.0	92.5	529241.0	7.5	SRX5081662_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7053540.0	0.0	18-50	55.0	8.520101181110737	36.737511944357024	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		10070512	8568928	10070512	503525600	220825	288023568	42.79862473725268	0.2071	0.45	0.3429		
SRX5086133	80983465	63428017	531870	3576700	0	0	0	0	265001	0	0	0	0	9092604	3819233	270040	78.3221821886727	80983465.0	77406765.0	95.58	3576700.0	4.42	SRX5086133_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80983465.0	0.0	20-150	52.0	9.046794514589571	140.8115080035165	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		81133736	40077606	81133736	12170060400	26694785	11480035691	5.669854432275455			0.4465	0.0532	0.5003
SRX5086136	75272858	54684449	381467	4674795	0	0	0	0	148999	0	0	0	0	12211042	2975018	197088	72.64829641515671	75272858.0	70598063.0	93.79	4674795.0	6.21	SRX5086136_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75272858.0	0.0	20-150	52.0	9.812379879855458	140.57841590125358	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		75418013	38274653	75418013	11312701950	74904774	10611299373	6.200133090220767			0.5503	0.0501	0.3996
SRX530683	64674122	72122	97	64593747	0	0	0	0	0	0	0	0	0	6972	833	351	0.11151600944810662	64674122.0	80375.0	0.12	64593747.0	99.88	SRX530683_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64674122.0	0.0	20-75	51.0	77.32146416538706	64.91965330429997	pass	fail	warn	fail	pass	pass	warn	pass	warn	warn		66004839	21288080	66004839	4950362925	669403425	4252626550	14.09465094925338	0.2657	0.3863	0.3479		
SRX530684	73160356	79504	120	73071389	0	0	0	0	0	0	0	0	0	7960	993	390	0.10867087634182644	73160356.0	88967.0	0.12	73071389.0	99.88	SRX530684_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73160356.0	0.0	20-75	51.0	77.05958895288256	65.06862003241208	pass	fail	warn	fail	pass	pass	warn	pass	warn	pass		74614429	24159832	74614429	5596082175	742815739	4821004952	13.850354565245464	0.3099	0.3754	0.3148		
SRX530685	171228532	198619	224	170770896	0	0	0	0	0	0	0	0	0	256566	1665	562	0.11599643919157117	171228532.0	457636.0	0.27	170770896.0	99.73	SRX530685_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	171228532.0	0.0	18-75	51.0	78.73935703557946	68.81375916952906	pass	warn	pass	fail	pass	pass	warn	pass	warn	warn		173854310	56987379	173854310	13039073250	1048708722	11913925246	8.62904887814784	0.2031	0.4635	0.3334		
SRX5315839	7616828	4592238	224200	1267734	0	0	0	0	5275	0	0	0	0	967819	533423	26139	60.29068793466257	7616828.0	6349094.0	83.36	1267734.0	16.64	SRX5315839_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7616828.0	0.0	20-151	55.0	27.262084335544923	131.1686165159565	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass		7637116	5328013	7637116	1153204516	8547547	997304219	13.518876733222921					
SRX5315840	7531991	4528996	251832	1248375	0	0	0	0	3610	0	0	0	0	924458	548886	25834	60.13013026701704	7531991.0	6283616.0	83.43	1248375.0	16.57	SRX5315840_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7531991.0	0.0	20-151	54.0	29.0273125900774	132.2695911346681	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass		7546917	5224063	7546917	1139584467	2721314	999270459	12.312734339858284					
SRX5315843	7667221	4053529	612770	1398241	0	0	0	0	5601	0	0	0	0	1035068	538701	23311	52.868294783729326	7667221.0	6268980.0	81.76	1398241.0	18.24	SRX5315843_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7667221.0	0.0	20-151	55.0	28.237228260848088	131.479502416847	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass		7690711	5310727	7690711	1161297361	3536463	1011449577	12.90348097157176					
SRX5512175	5856434	3836214	244	104418	0	0	0	0	0	0	0	0	0	1511214	293777	110567	65.50426419899892	5856434.0	5752016.0	98.22	104418.0	1.78	SRX5512175_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5856434.0	0.0	20-150	51.0	27.31133923287184	148.99075358827577	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		5856549	1652620	5856549	878482350	344185	875327555	0.35911876886314226	0.0997	0.2866	0.6136		
SRX5512176	5475189	3731898	164	99261	0	0	0	0	0	0	0	0	0	1263352	295705	84809	68.16016762161087	5475189.0	5375928.0	98.19	99261.0	1.81	SRX5512176_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5475189.0	0.0	20-150	51.0	25.019630435437602	148.97254067393837	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		5475281	1546585	5475281	821292150	343232	818247721	0.3706877022993584	0.0578	0.2601	0.6821		
SRX5512605	6688312	4603031	341	259339	0	0	0	0	0	0	0	0	0	1517702	273309	34590	68.82201368596441	6688312.0	6428973.0	96.12	259339.0	3.88	SRX5512605_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6688312.0	0.0	20-150	50.0	22.72118925018025	148.43836725918288	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		6691933	2086969	6691933	1003789950	3761300	996309901	0.7451807023969507	0.2394	0.0539	0.7067		
SRX5512606	5853609	3962551	320	218664	0	0	0	0	0	0	0	0	0	1412678	230840	28556	67.6941524450984	5853609.0	5634945.0	96.26	218664.0	3.74	SRX5512606_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5853609.0	0.0	20-150	50.0	26.543282331228767	148.46520360345215	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		5856549	1826112	5856549	878482350	3162266	872133732	0.7226801995509642	0.2881	0.0905	0.6214		
SRX5521919	7529142	4988519	934	172595	0	0	0	0	0	0	0	0	0	1915180	352396	99518	66.25614180208049	7529142.0	7356547.0	97.71	172595.0	2.29	SRX5521919_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7529142.0	0.0	20-150	51.0	19.592041549518594	148.91930979652133	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		7529262	2166521	7529262	1129389300	334364	1124776009	0.4084765988131816	0.0582	0.2714	0.6704		
SRX5521920	6839921	5375622	252	243764	0	0	0	0	0	0	0	0	0	1016807	193638	9838	78.59187262542945	6839921.0	6596157.0	96.44	243764.0	3.56	SRX5521920_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6839921.0	0.0	20-150	53.0	26.083193686095573	148.9470621078811	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		6840119	1936005	6840119	1026017850	371437	1022099689	0.38188039321148265	0.0592	0.46399999999999997	0.4768		
SRX5892047	6570663	5661037	493	193222	0	0	0	0	418	0	0	0	0	255460	413912	46121	86.15625242079832	6570663.0	6377441.0	97.06	193222.0	2.94	SRX5892047_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6570663.0	0.0	20-90	52.0	32.27617224835172	88.11124752555412	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	6572741	1997667	6572741	591546690	7853272	580951746	1.7910579467531125			0.4065	0.2962	0.2973
SRX5892048	6874051	5818348	2725	229725	0	0	0	0	298	0	0	0	0	345122	433533	44300	84.64220006514354	6874051.0	6644326.0	96.66	229725.0	3.34	SRX5892048_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6874051.0	0.0	20-90	52.0	31.889901273407798	87.63836491757189	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	pass	6876114	2075724	6876114	618850260	8226881	607797604	1.7859984416908867			0.39	0.3007	0.3093
SRX5892049	6491481	5341885	1742	470857	0	0	0	0	356	0	0	0	0	244384	391795	40462	82.29069760814211	6491481.0	6020624.0	92.75	470857.0	7.25	SRX5892049_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6491481.0	0.0	20-90	52.0	33.487722136096465	87.73048245847134	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	6493360	1975392	6493360	584402400	7715442	573979190	1.7835672817223205			0.4	0.2	0.4
SRX5892050	6390717	2632465	568	511879	0	0	0	0	358	0	0	0	0	2992032	236055	17360	41.192013353118284	6390717.0	5878838.0	91.99	511879.0	8.01	SRX5892050_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6390717.0	0.0	20-90	52.0	31.41289721474101	88.14766574705155	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	6392794	1922805	6392794	575351460	10807300	561930813	2.332599799086284			0.6667	0.3333	0.0
SRX5913658	4528970	3572055	266	98511	0	0	0	0	0	0	0	0	0	663950	175290	18898	78.87124445514102	4528970.0	4430459.0	97.82	98511.0	2.18	SRX5913658_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4528970.0	0.0	20-150	51.0	25.330557572358828	148.4976091694138	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		4529255	1503599	4529255	679388250	329881	675034992	0.6407614497306953	0.3121	0.0409	0.6469		
SRX5913659	4702005	3604063	385	98752	0	0	0	0	0	0	0	0	0	790577	183980	24248	76.64949314175549	4702005.0	4603253.0	97.9	98752.0	2.1	SRX5913659_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4702005.0	0.0	20-150	51.0	25.098531727547442	148.52598880690257	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		4702370	1551689	4702370	705355500	292366	700880929	0.6343710370160862	0.3149	0.048	0.6371		
SRX5960838	52650279	38084487	43360	5766463	0	0	0	0	0	0	0	0	0	6431016	2253198	71755	72.33482466446189	52650279.0	46883816.0	89.05	5766463.0	10.95	SRX5960838_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52650279.0	0.0	20-150	52.0	17.401717329333426	134.0816702984613	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		52660787	9353079	52660787	7162640114	49177811	7078645401	1.1726781139795794	0.0869	0.3999	0.5132		
SRX5960839	57327788	37351279	27652	7291608	0	0	0	0	0	0	0	0	0	10124879	2460378	71992	65.15388139517961	57327788.0	50036180.0	87.28	7291608.0	12.72	SRX5960839_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57327788.0	0.0	20-150	52.0	16.446834191827616	133.9943675656908	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		57340040	9374602	57340040	7798779740	58996318	7702965858	1.2285753052951331	0.067	0.3495	0.5834		
SRX5960840	57146213	35889715	47008	6980737	0	0	0	0	0	0	0	0	0	12115725	2057618	55410	62.803312968437645	57146213.0	50165476.0	87.78	6980737.0	12.22	SRX5960840_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57146213.0	0.0	20-150	52.0	17.45568886800406	129.92797242749927	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		57164882	9836567	57164882	7543591661	56762361	7443351303	1.3288147411032034	0.0736	0.3781	0.5483		
SRX5961258	6874051	5818355	2725	229725	0	0	0	0	292	0	0	0	0	345128	433520	44306	84.64230189738191	6874051.0	6644326.0	96.66	229725.0	3.34	SRX5961258_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6874051.0	0.0	20-90	52.0	31.889901273407798	87.63836491757189	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	pass	6876114	2075724	6876114	618850260	8226881	607797604	1.7859984416908867			0.39	0.3007	0.3093
SRX5961259	6570663	5661028	493	193222	0	0	0	0	418	0	0	0	0	255459	413928	46115	86.1561154483193	6570663.0	6377441.0	97.06	193222.0	2.94	SRX5961259_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6570663.0	0.0	20-90	52.0	34.69807942508833	87.67667007119373	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	6572741	1997667	6572741	591546690	7853272	580951746	1.7910579467531125			0.4065	0.2962	0.2973
SRX5961260	6390717	2632467	568	511879	0	0	0	0	361	0	0	0	0	2992035	236045	17362	41.19204464851127	6390717.0	5878838.0	91.99	511879.0	8.01	SRX5961260_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6390717.0	0.0	20-90	52.0	31.41289721474101	88.14766574705155	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	6392794	1933856	6392794	575351460	7461549	565271067	1.7520409177374816			0.6667	0.3333	0.0
SRX5961261	6491481	5341877	1742	470857	0	0	0	0	363	0	0	0	0	244380	391798	40464	82.29057436970083	6491481.0	6020624.0	92.75	470857.0	7.25	SRX5961261_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6491481.0	0.0	20-90	52.0	31.199583087160796	88.1180679724704	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	6493360	1959631	6493360	584402400	10307998	571400872	2.224756092719674			0.4	0.2	0.4
SRX6058974	6561741	61839	15	102087	0	0	0	0	0	0	0	0	0	6395708	2012	80	0.9424175687519516	6561741.0	6459654.0	98.44	102087.0	1.56	SRX6058974_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6561741.0	0.0	18-50	55.0	5.719441123325683	34.920810498311354	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		9745163	8549878	9745163	487258150	180537	262819019	46.061647403948	0.1182	0.4088	0.473		
SRX6058975	6322715	56272	11	109554	0	0	0	0	0	0	0	0	0	6154676	2158	44	0.8899974140855629	6322715.0	6213161.0	98.27	109554.0	1.73	SRX6058975_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6322715.0	0.0	18-50	55.0	5.7351949033370895	33.31081710942214	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		10602898	9722282	10602898	530144900	207961	254478274	51.99835478941701	0.13	0.4619	0.408		
SRX6058976	6690190	49676	19	136478	0	0	0	0	0	0	0	0	0	6501478	2500	39	0.7425200181160775	6690190.0	6553712.0	97.96	136478.0	2.04	SRX6058976_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6690190.0	0.0	18-50	54.0	6.741843685324586	38.50597352242612	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		8946486	7100427	8946486	447324300	166403	280460884	37.30256013366589	0.1541	0.4425	0.4034		
SRX6058978	6561741	60357	15	102079	0	0	0	0	0	0	0	0	0	6397187	2012	91	0.9198320994382436	6561741.0	6459662.0	98.44	102079.0	1.56	SRX6058978_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6561741.0	0.0	18-50	55.0	5.719441123325683	34.920810498311354	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		9745163	8549878	9745163	487258150	180537	262819019	46.061647403948	0.1193	0.4077	0.473		
SRX6058979	6322715	58570	10	109535	0	0	0	0	0	0	0	0	0	6152370	2188	42	0.9263425601185568	6322715.0	6213180.0	98.27	109535.0	1.73	SRX6058979_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6322715.0	0.0	18-50	55.0	5.7351949033370895	33.31081710942214	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		10602898	9722282	10602898	530144900	207961	254478274	51.99835478941701	0.1287	0.4646	0.4067		
SRX6058980	6690190	49531	18	136466	0	0	0	0	0	0	0	0	0	6501663	2459	53	0.7403526656193621	6690190.0	6553724.0	97.96	136466.0	2.04	SRX6058980_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6690190.0	0.0	18-50	54.0	6.741843685324586	38.50597352242612	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		8946486	7100427	8946486	447324300	166403	280460884	37.30256013366589	0.1543	0.4413	0.4045		
SRX646339	73971145	44621473	24008	7222614	0	0	0	0	0	0	0	0	0	19943011	2065798	94241	60.322809657738844	73971145.0	66748531.0	90.24	7222614.0	9.76	SRX646339_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73971145.0	0.0	20-101	51.0	11.581114049082036	98.33601907879078	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	74230738	22464112	74230738	7497304538	122985003	7326830833	2.273799925505974	0.0713	0.4886	0.4401		
SRX6861379	22151526	16302757	159965	2245642	0	0	0	0	3681	0	0	0	0	2536119	827531	75831	73.59654138500436	22151526.0	19905884.0	89.86	2245642.0	10.14	SRX6861379_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22151526.0	0.0	20-76	53.0	17.95141147300761	75.16751198089017	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	22344130	6519718	22344130	1698153880	4002890	1677303312	1.227837373607155			0.557	0.0641	0.3788
SRX6861380	25367933	19570833	51114	2721271	0	0	0	0	6702	0	0	0	0	1935666	931013	151334	77.14792135409692	25367933.0	22646662.0	89.27	2721271.0	10.73	SRX6861380_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25367933.0	0.0	20-76	52.0	16.491722451397056	74.93353210921836	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	25563361	7764456	25563361	1942815436	18832029	1909225726	1.7289192466556045			0.4832	0.0825	0.4344
