	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
ERX1045679	48318639	26623611	504795	5384320	0	0	0	0	0	0	0	0	0	14557415	1162677	85821	55.100084669189464	48318639.0	42934319.0	88.86	5384320.0	11.14	ERX1045679_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48318639.0	0.0	20-51	53.0	12.107328800003064	49.8810400888982	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	48773973	17408920	48773973	2487472623	23322128	2412593834	3.0102357030041573	0.4417	0.0683	0.49		
ERX1045680	10731133	5131161	134389	2607893	0	0	0	0	0	0	0	0	0	2707627	140079	9984	47.815650034343996	10731133.0	8123240.0	75.7	2607893.0	24.3	ERX1045680_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10731133.0	0.0	20-51	49.0	17.440107957435036	49.88433001436102	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail	11011041	4591743	11011041	561563091	2382106	537149253	4.34747909741098	0.3625	0.0766	0.5609		
ERX1045681	21316381	11009783	304835	1476628	0	0	0	0	0	0	0	0	0	7980487	503061	41587	51.64940052441359	21316381.0	19839753.0	93.07	1476628.0	6.93	ERX1045681_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21316381.0	0.0	20-51	53.0	17.195928407373287	50.025926305220395	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass	21618819	8049128	21618819	1102559769	7604238	1068218727	3.114664888520887	0.4456	0.0757	0.4786		
ERX1045682	31372444	18193818	513876	5753100	0	0	0	0	0	0	0	0	0	6590762	298042	22846	57.99298900653071	31372444.0	25619344.0	81.66	5753100.0	18.34	ERX1045682_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31372444.0	0.0	20-51	46.0	13.311228200178073	50.06085005682056	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	31666413	11345497	31666413	1614987063	6674837	1572882309	2.6071263952905115	0.4287	0.0845	0.4868		
ERX1045683	16852829	10086241	90690	2316214	0	0	0	0	0	0	0	0	0	4118326	224755	16603	59.84894880260163	16852829.0	14536615.0	86.26	2316214.0	13.74	ERX1045683_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16852829.0	0.0	20-51	51.0	16.34435072543612	50.06259055972146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass	17043214	6771452	17043214	869203914	2040677	845105989	2.772413309680517	0.4164	0.0757	0.5079		
ERX1045684	23417923	12024295	244598	2060938	0	0	0	0	0	0	0	0	0	8489634	551943	46515	51.34654768486514	23417923.0	21356985.0	91.2	2060938.0	8.8	ERX1045684_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23417923.0	0.0	20-51	52.0	18.753090555757872	50.02449713409682	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass	23741574	8649508	23741574	1210820274	8293564	1173433227	3.0877453741743337	0.418	0.0811	0.5009		
ERX1045685	14400527	8184507	145361	1392825	0	0	0	0	0	0	0	0	0	4365124	289406	23304	56.834774171806345	14400527.0	13007702.0	90.33	1392825.0	9.67	ERX1045685_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14400527.0	0.0	20-51	52.0	22.623886190317393	49.95093394845897	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass	14653882	5687717	14653882	747347982	2014475	721141692	3.5065713203464566	0.4121	0.0806	0.5073		
ERX1045686	24740713	13523209	273429	2031115	0	0	0	0	0	0	0	0	0	8323104	549186	40670	54.659738383449174	24740713.0	22709598.0	91.79	2031115.0	8.21	ERX1045686_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24740713.0	0.0	20-51	53.0	15.447806536863856	49.775825336965845	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	25143321	9417714	25143321	1282309371	12753342	1233348656	3.8181671371408856	0.466	0.0588	0.4752		
ERX1045687	29462771	14198363	259503	5475717	0	0	0	0	0	0	0	0	0	8973354	517776	38058	48.190860934295685	29462771.0	23987054.0	81.41	5475717.0	18.59	ERX1045687_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29462771.0	0.0	20-51	49.0	18.488683696093467	49.92779382495964	pass	pass	pass	fail	fail	warn	warn	fail	fail	pass	fail	29744773	12838681	29744773	1516983423	6976349	1473065108	2.8951084325725027	0.4068	0.0869	0.5062		
ERX1045689	14242802	7464112	171825	1219394	0	0	0	0	0	0	0	0	0	5032481	330720	24270	52.406204902658914	14242802.0	13023408.0	91.44	1219394.0	8.56	ERX1045689_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14242802.0	0.0	20-51	53.0	16.181118699704108	49.95769112004786	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail	14427232	5516780	14427232	735788832	5032570	712464843	3.1699297387541767	0.4808	0.0575	0.4617		
